RSCNE	TF(tsys)->TG(gsys)	E_E60	E_D1	E_D7	E_D28	E_Y1	R_E60	R_D1	R_D7	R_D28	R_Y1
Chr23:45629775-149	PPARG(gastrointestinal&muscular)->SLC14A1(gastrointestinal)	438.3517132	850.9528997	273.2914161	649.3410833	111.858084	3612.517361	6777.816686	23502.56642	19400.73722	37189.29144
Chr10:69856610-130	PPARG(gastrointestinal&muscular)->SOX21(gastrointestinal&integumentary&reproductive)	502.1063837	502.0431694	705.9994101	804.420826	1407.051367	2038.014339	1884.184237	3396.533422	7495.103403	8480.354082
Chr1:202588557-455	SOX2(gastrointestinal&nervous)->SOX2(gastrointestinal&nervous)	26880.35292	16744.71472	25274.88677	3152.105484	24990.84467	208425.7277	173902.0756	128000.4759	70042.83996	72457.59633
Chr7:76980313-720	SOX2(gastrointestinal&nervous)->PLEK2(gastrointestinal)	9991.899103	28555.45617	25835.7945	4920.564986	15908.9614	25378.65871	48776.40105	80031.59144	48253.81358	61315.74234
Chr20:27299529-49	SOX2(gastrointestinal&nervous)->HSPA1A(nervous)	25673.19176	29687.42677	62610.90349	12071.53085	93916.67235	99032.05473	82363.59282	293481.7313	83302.61356	135438.5879
Chr14:22602651-141	SOX2(gastrointestinal&nervous)->IRX5(integumentary)	8085.581062	3756.880524	1596.521868	1853.625451	1406.984385	57488.54333	69868.57867	49542.09057	24925.99958	29468.45044
Chr6:67326231-352	SOX2(gastrointestinal&nervous)->CWH43(reproductive)	516.9630437	452.2341205	1836.155322	340.9993565	3774.051397	5173.254427	6915.192222	4589.256576	2331.289637	5349.182331
Chr5:41144709-135	SOX2(gastrointestinal&nervous)->PCSK4(reproductive)	2260.326882	3967.018403	3143.879832	822.9128812	2755.528737	11052.60411	9640.507471	8090.094302	6301.228683	11563.62293
Chr1:202787586-842	SOX21(gastrointestinal&integumentary&reproductive)->SOX2(gastrointestinal&nervous)	5008.457162	10118.56913	9171.822873	2696.060828	17253.92021	40893.94227	28432.22855	38609.81791	31661.00512	28205.444
Chr7:76980313-720	SOX21(gastrointestinal&integumentary&reproductive)->PLEK2(gastrointestinal)	3142.009188	8579.237248	8836.297568	1853.746816	5236.680446	8147.154475	12800.69226	28749.15126	22329.46115	18354.25046
Chr1:202588557-455	SOX21(gastrointestinal&integumentary&reproductive)->SOX2(gastrointestinal&nervous)	9793.984134	5829.111293	10016.19448	1375.945422	9531.476886	77527.11641	52880.24862	53277.05107	37555.65721	25131.2219
Chr1:202588557-455	SOX21(gastrointestinal&integumentary&reproductive)->SOX2(gastrointestinal&nervous)	10558.8679	6284.349177	10798.43228	1483.403052	10275.85955	83581.77529	57010.05355	57437.84519	40488.65284	27093.90261
Chr23:45734037-52	SOX21(gastrointestinal&integumentary&reproductive)->SLC14A1(gastrointestinal)	307.1800564	808.8735631	319.7008684	286.3757888	190.3194627	2923.690626	5618.764529	20016.23671	12066.91852	16951.29141
Chr11:40325877-150	SOX21(gastrointestinal&integumentary&reproductive)->KRT36(integumentary)	333.0702524	774.4333307	924.7606996	109.4967716	1642.133713	993.238519	1608.968745	35840.52092	114766.8762	37832.85797
Chr11:40325877-150	SOX21(gastrointestinal&integumentary&reproductive)->KRT36(integumentary)	335.5303549	780.1534012	931.5911087	110.3055297	1654.262737	1000.574715	1620.852808	36105.24391	115614.5601	38112.29664
Chr5:58462789-149	SOX21(gastrointestinal&integumentary&reproductive)->PDE6A(nervous)	399.0027633	626.0785984	1355.421861	391.1844058	900.0761192	732.2920109	1236.398319	11806.95881	6265.992613	6422.276387
Chr10:69396863-257	SOX21(gastrointestinal&integumentary&reproductive)->SOX21(gastrointestinal&integumentary&reproductive)	1120.13704	1147.195831	1160.731849	257.8040991	3481.900714	6296.213813	4592.761895	6630.745706	5311.94161	4235.081675
Chr5:57788113-104	SOX21(gastrointestinal&integumentary&reproductive)->PDE6A(nervous)	178.0317534	275.1499947	475.5877194	99.43895851	373.0823726	359.2400341	384.6540533	2491.100023	1886.33624	2107.448465
Chr20:27299529-49	SOX21(gastrointestinal&integumentary&reproductive)->HSPA1A(nervous)	8992.531206	9935.15871	23852.8985	5065.711738	34434.9629	35412.43199	24076.96075	117432.2347	42938.60257	45159.56588
Chr8:57187127-150	SOX21(gastrointestinal&integumentary&reproductive)->ENPP3(gastrointestinal)	2367.128104	7111.166134	6248.63078	668.8495852	6155.629019	8797.581717	9565.317032	14440.23343	21047.62115	10396.06864
Chr10:68782963-193	SOX21(gastrointestinal&integumentary&reproductive)->SOX21(gastrointestinal&integumentary&reproductive)	781.4471848	818.5322918	2051.103981	821.2203033	1841.730492	2016.341454	1275.667843	2994.673093	7464.504861	4498.021644
Chr14:22602651-141	SOX21(gastrointestinal&integumentary&reproductive)->IRX5(integumentary)	2598.398119	1153.511706	558.0311337	713.6618426	473.3022507	18860.51889	18738.75182	18187.49768	11787.83997	9014.818966
Chr14:56282029-82	SOX21(gastrointestinal&integumentary&reproductive)->KLK10(integumentary)	784.1482134	2301.856099	5541.325866	4226.916923	22158.19619	5641.41258	12892.98679	58157.59983	29017.16696	6689.486126
Chr6:67326231-352	SOX21(gastrointestinal&integumentary&reproductive)->CWH43(reproductive)	197.997162	165.4866478	764.8882401	156.4692722	1513.080772	2022.745206	2210.385472	2007.91799	1313.962258	1950.25824
Chr6:67326231-352	SOX21(gastrointestinal&integumentary&reproductive)->CWH43(reproductive)	194.6510235	162.6899347	751.961681	153.8249522	1487.50981	1988.56095	2173.030109	1973.984313	1291.756386	1917.299009
Chr3:20276933-229	SOX21(gastrointestinal&integumentary&reproductive)->ATP6V1C2(integumentary)	781.0180792	1739.411549	2215.747725	612.5509793	576.9656543	3328.304753	1761.428072	14833.25618	14105.16359	3413.062694
Chr3:20276933-229	SOX21(gastrointestinal&integumentary&reproductive)->ATP6V1C2(integumentary)	710.683987	1582.769935	2016.209957	557.3880858	525.0073749	3028.576361	1602.803774	13497.45662	12834.93195	3105.701478
Chr11:40325877-150	SOX21(gastrointestinal&integumentary&reproductive)->KRT17(integumentary)	24652.84167	20542.75294	19928.50662	418.8311936	22593.80383	28691.49824	18878.51868	129242.8341	205592.608	111505.0393
Chr11:40325877-150	SOX21(gastrointestinal&integumentary&reproductive)->KRT17(integumentary)	24834.93093	20694.48453	20075.70129	421.9247381	22760.68475	28903.41757	19017.95801	130197.4394	207111.1431	112328.6307
Chr11:40325877-150	SOX21(gastrointestinal&integumentary&reproductive)->LOC101118712(integumentary)	527.6530407	1198.334255	1811.429143	164.553957	4145.698448	2082.386155	1676.982662	9332.485179	14475.1885	5495.705891
Chr11:40325877-150	SOX21(gastrointestinal&integumentary&reproductive)->LOC101118712(integumentary)	531.5503582	1207.185316	1824.808606	165.7693751	4176.319144	2097.766944	1689.369086	9401.416191	14582.10423	5536.297926
Chr20:26493760-143	SOX21(gastrointestinal&integumentary&reproductive)->HSPA1A(nervous)	4395.289768	3852.071149	5919.97879	756.3833809	14143.82991	14415.72022	8137.415384	61615.78748	26908.9235	19241.67946
Chr1:100840201-318	SOX21(gastrointestinal&integumentary&reproductive)->LOC105613035(gastrointestinal)	280.6666458	858.1343012	339.0568623	38.88271701	0	3200.468222	3535.937434	8493.596149	86379.96436	6784.912319
Chr5:57788113-104	SOX21(gastrointestinal&integumentary&reproductive)->SPINK9(integumentary)	348.8137725	1147.479252	1784.538234	237.5005266	2447.76082	2550.787184	2475.974174	6549.040854	5140.672385	1331.011993
Chr1:202588557-455	TP63(integumentary&gastrointestinal)->SOX2(gastrointestinal&nervous)	25703.5345	19530.57856	21867.49425	3174.637085	22804.41129	147011.0928	167082.6349	117105.4071	62412.17147	75645.61151
Chr1:195098470-249	TP63(integumentary&gastrointestinal)->TP63(integumentary&gastrointestinal)	11717.6328	25125.86164	12568.00382	2058.738633	16514.4778	26570.51882	67844.69978	60502.87537	32777.90025	92982.25331
